"Component","Version","Latest version","Component type","License","License type","Vulnerability count","Object compilation date","Object","Object full path","Object SHA1","Distribution package","Missing exploit mitigations"
"hibernate","5.4.9.Final","5.6.5.Final","java","unknown","unknown","0","2019-11-14T14:30:14Z","hibernate-core-5.4.9.Final.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/hibernate-core-5.4.9.Final.jar","6a7efbbe889e9644b163f5cc03936b7e2b360293","",""
"hibernate-commons-annotations","5.1.0.Final","5.1.2.Final","java","LGPL","weakcopyleft","0","2018-11-08T14:57:54Z","hibernate-commons-annotations-5.1.0.Final.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/hibernate-commons-annotations-5.1.0.Final.jar","700aeedc4a2089816621948f0379e17cbd17d5db","",""
"hibernate-validator","6.0.18.Final","7.0.2.Final","java","Apache","permissive","1","2019-10-25T08:33:12Z","hibernate-validator-6.0.18.Final.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/hibernate-validator-6.0.18.Final.jar","7fd00bcd87e14b6ba66279282ef15efa30dd2492","",""
"hsqldb","2.5.0","2.6.1","java","BSD","permissive","0","2019-06-02T20:41:52Z","hsqldb-2.5.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/hsqldb-2.5.0.jar:org/hsqldb/server","59298fcd77faf01e02b405def2f80cccbf582508","",""
"hsqldb-jdbc","2.5.0","2.6.1","java","BSD","permissive","0","2019-06-02T20:41:52Z","hsqldb-2.5.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/hsqldb-2.5.0.jar","59298fcd77faf01e02b405def2f80cccbf582508","",""
"html-tampering","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","html-tampering-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/html-tampering-8.1.0.jar","ba11b38bcda7f7da647f210196b780b9147dc416","",""
"http-basics","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","http-basics-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/http-basics-8.1.0.jar","7f6a7a74fbefacbd8ae8a837a2937d14b3e76531","",""
"http-proxies","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","http-proxies-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/http-proxies-8.1.0.jar","df280c9ec5a588382ecc0432562a4380e0134d73","",""
"idor","8.1.0","1.0","java","Apache","permissive","0","2020-05-23T12:21:02Z","idor-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/idor-8.1.0.jar","f7168a7dbf8d2e2bfa3bb3dcf54d8d189f2a04ab","",""
"insecure-deserialization","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","insecure-deserialization-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/insecure-deserialization-8.1.0.jar","482d17b87328ae90338e8dd7dc23252fb426f161","",""
"insecure-login","8.1.0","","java","unknown","Unknown","0","2020-05-23T12:21:02Z","insecure-login-8.1.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/insecure-login-8.1.0.jar","5663867f70958a2ecf362120c2d5e305ee0b7368","",""
"invokebinder","1.10","1.12","java","Apache","permissive","0","2012-04-07T12:49:08Z","jruby-complete-9.1.17.0.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jruby-complete-9.1.17.0.jar","76716d529710fc03d1d429b43e3cedd4419f78d4","",""
"istack-commons","3.0.8","4.0.1","java","CDDL+GPL","weakcopyleft","0","2018-12-27T14:43:38Z","istack-commons-runtime-3.0.8.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/istack-commons-runtime-3.0.8.jar","d6a97364045aa6b99bf2d3c566a3f98599c2d296","",""
"jackson","2.10.1","2.11.4","java","Apache","permissive","0","2019-11-09T23:08:42Z","jackson-core-2.10.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jackson-core-2.10.1.jar","2c8b5e26ba40e5f91eb37a24075a2028b402c5f9","",""
"jackson-annotations","2.10.1","2.11.4","java","Apache","permissive","0","2019-11-09T22:57:52Z","jackson-annotations-2.10.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jackson-annotations-2.10.1.jar","54d72475c0d6819f2d0e9a09d25c3ed876a4972f","",""
"jackson-databind","2.10.1","2.11.4","java","Apache","permissive","1","2019-11-09T23:11:56Z","jackson-databind-2.10.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jackson-databind-2.10.1.jar","18eee15ffc662d27538d5b6ee84e4c92c0a9d03e","",""
"jackson-datatype-jdk8","2.10.1","2.11.4","java","Apache","permissive","0","2019-11-09T23:29:08Z","jackson-datatype-jdk8-2.10.1.jar","webgoat-server-8.1.0.jar:BOOT-INF/lib/jackson-datatype-jdk8-2.10.1.jar","db9247b3eb6f07520ff6ff6d1070439edd6803c3","",""
